Column1,Id,Company,Acquisition date,Founded,Headcount,Headcount_bucketed,AcquiredBy,Obsolete Category,Description,Categories,Business,Acquisition Value (USD),BroadCategory,x_transition1,y_transition1,x_transition2,y_transition2,x_stable,y_stable,x_acquired1,y_acquired1,x_acquired2,y_acquired2,x_acquired_stable,y_acquired_stable
0,0,Texture,2018,2009,250,250,Apple,AI/ML/Analytics,Texture by Next Issue is an online media company that provides digital publishing services.,"Content, Digital Entertainment, Digital Media",Digital magazine subscription service,,AI/ML/Analytics,50,100,55,62,55,62,50,20,25,0,25,0
1,1,Buddybuild,2018,2015,50,50,Apple,AR/VR,Buddybuild is a Vancouver-based app tools company focused on continuous integration and debugging tools.,"Developer Tools, Mobile, Software",Feedback Platform for Development teams,,Software,50,100,45,42,45,42,50,20,25,0,25,0
2,2,Shazam,2017,2000,250,250,Apple,Software,"Shazam offers a mobile app that connects hundreds of millions of people around the world to the content music, artists and brands they love.","Android, Ediscovery, iOS, Music",Music and Image recognition,400000000,Software,50,100,56,46,56,46,50,20,25,0,25,0
3,3,init.ai,2018,2015,10,50,Apple,AI/ML/Analytics,Init.ai is a developer platform that enables its users to design and develop language conversational mobile applications.,"Artificial Intelligence, B2B, Developer Platform, Developer Tools, Machine Learning, Messaging, Natural Language Processing, Virtual Assistant",Messaging assistant,,AI/ML/Analytics,50,100,43,45,43,45,50,20,25,0,25,0
4,4,PowerbyProxi,2018,2007,50,50,Apple,Hardware,"PowerbyProxi is a leader in advanced, safe, wireless power solutions for consumer electronics and industrial markets.","Consumer Electronics, Industrial, Wireless",Wireless charging,,Hardware,50,100,57,78,57,78,50,20,25,0,25,0
5,5,Regaind,2017,2015,25,50,Apple,AI/ML/Analytics,Regaind gives meaning to photos and help businesses and developers deal with massive flows of images by using AI to analyze and sort them.,"Artificial Intelligence, Computer Vision, Photo Sharing, Photography",Computer vision,,AI/ML/Analytics,50,100,55,40,55,40,50,20,25,0,25,0
6,6,Vrvana,2017,2005,50,50,Apple,AR/VR,"Vrvana is the maker of Totem, a unique Mixed Reality headset for Enterprise.","Computer, Hardware, Information Technology, Virtual Reality",Augmented reality head-mounted display,30000000,AR/VR,50,100,60,57,60,57,50,20,25,0,25,0
7,7,SensoMotoric Instruments,2017,1991,100,100,Apple,AR/VR,SensoMotoric Instruments develops and markets computer vision applications.,"Computer Vision, Image Recognition, Psychology, Software",Eye tracking hardware and software,,Software,50,100,46,45,46,45,50,20,25,0,25,0
8,8,Lattice Data,2017,2015,50,50,Apple,AI/ML/Analytics,Lattice turns dark data into structured data with human-caliber quality at machine-caliber scale.,"Big Data, Information Technology, Machine Learning",Artificial intelligence,200000000,AI/ML/Analytics,50,100,43,70,43,70,50,20,25,0,25,0
9,9,Beddit,2017,2007,50,50,Apple,AR/VR,Beddit offers consumer focused sleep tracking.,"Fitness, Health Care, Wellness",Sleep tracking hardware,,Hardware,50,100,59,51,59,51,50,20,25,0,25,0
