Id,Acquisition date,Company,Business,Country,Value (USD),References,Derived products,Categories,Founded,Size,Description,BroadCategory,AcquiredBy
0,2018-03-12,Texture,Digital magazine subscription service,"United States,  Canada",â€”,[128],News,"Content, Digital Entertainment, Digital Media",2014-07-08,3,Texture by Next Issue is an online media company that provides digital publishing services.,AI/ML/Analytics,Google
1,2018-01-02,Buddybuild,Feedback Platform for Development teams,Canada,â€”,[126][127],"Xcode, TestFlight","Developer Tools, Mobile, Software",2014-07-08,3,Buddybuild is a Vancouver-based app tools company focused on continuous integration and debugging tools.,AR/VR,Google
2,2017-12-11,Shazam,Music and Image recognition,United Kingdom,"~US$400,000,000",[124][125],"iTunes, Siri, Apple Music","Android, Ediscovery, iOS, Music",2013-07-08,5,"Shazam offers a mobile app that connects hundreds of millions of people around the world to the content music, artists and brands they love.",Software,Amazon
3,2017-10-01,init.ai,Messaging assistant,United States,â€”,[121],Siri,"Artificial Intelligence, B2B, Developer Platform, Developer Tools, Machine Learning, Messaging, Natural Language Processing, Virtual Assistant",2013-07-08,5,Init.ai is a developer platform that enables its users to design and develop language conversational mobile applications.,AI/ML/Analytics,Microsoft
4,2017-10-01,PowerbyProxi,Wireless charging,New Zealand,â€”,[122][123],"iPhone, AirPower","Consumer Electronics, Industrial, Wireless",2015-07-08,10,"PowerbyProxi is a leader in advanced, safe, wireless power solutions for consumer electronics and industrial markets.",Hardware,Microsoft
5,2017-09-29,Regaind,Computer vision,France,â€”,[120],Photos,"Artificial Intelligence, Computer Vision, Photo Sharing, Photography",2015-07-08,15,Regaind gives meaning to photos and help businesses and developers deal with massive flows of images by using AI to analyze and sort them.,AI/ML/Analytics,Microsoft
6,2016-09-22,Vrvana,Augmented reality head-mounted display,Canada,"US$30,000,000",[119],ARKit,"Computer, Hardware, Information Technology, Virtual Reality",2012-07-08,3,"Vrvana is the maker of Totem, a unique Mixed Reality headset for Enterprise.",AR/VR,Microsoft
7,2017-06-16,SensoMotoric Instruments,Eye tracking hardware and software,Germany,â€”,[118],ARKit,"Computer Vision, Image Recognition, Psychology, Software",2012-07-08,8,SensoMotoric Instruments develops and markets computer vision applications.,AR/VR,Microsoft
8,2016-05-13,Lattice Data,Artificial intelligence,United States,"US$200,000,000",[117],Photos,"Big Data, Information Technology, Machine Learning",2012-07-08,11,Lattice turns dark data into structured data with human-caliber quality at machine-caliber scale.,AI/ML/Analytics,Microsoft
9,2016-05-09,Beddit,Sleep tracking hardware,Finland,â€”,[116],iOS,"Fitness, Health Care, Wellness",2011-06-30,2,Beddit offers consumer focused sleep tracking.,AR/VR,Microsoft
