Id,AcquiredBy,Acquisition date,Company,Business,Country,Value (USD),Derived products,Categories,Founded,Size,Size(modified),Description,BroadCategory
0,Apple,2018,Texture,Digital magazine subscription service,"United States,  Canada",N/A,News,"Content, Digital Entertainment, Digital Media",2009,250,250,Texture by Next Issue is an online media company that provides digital publishing services.,
1,Apple,2018,Buddybuild,Feedback Platform for Development teams,Canada,N/A,"Xcode, TestFlight","Developer Tools, Mobile, Software",2015,50,50,Buddybuild is a Vancouver-based app tools company focused on continuous integration and debugging tools.,
2,Apple,2017,Shazam,Music and Image recognition,United Kingdom,"$400,000,000","iTunes, Siri, Apple Music","Android, Ediscovery, iOS, Music",2000,250,250,"Shazam offers a mobile app that connects hundreds of millions of people around the world to the content music, artists and brands they love.",
3,Apple,2018,init.ai,Messaging assistant,United States,N/A,Siri,"Artificial Intelligence, B2B, Developer Platform, Developer Tools, Machine Learning, Messaging, Natural Language Processing, Virtual Assistant",2015,10,10,Init.ai is a developer platform that enables its users to design and develop language conversational mobile applications.,
4,Apple,2018,PowerbyProxi,Wireless charging,New Zealand,N/A,"iPhone, AirPower","Consumer Electronics, Industrial, Wireless",2007,50,50,"PowerbyProxi is a leader in advanced, safe, wireless power solutions for consumer electronics and industrial markets.",
5,Apple,2017,Regaind,Computer vision,France,N/A,Photos,"Artificial Intelligence, Computer Vision, Photo Sharing, Photography",2015,,25,Regaind gives meaning to photos and help businesses and developers deal with massive flows of images by using AI to analyze and sort them.,
6,Apple,2017,Vrvana,Augmented reality head-mounted display,Canada,"$30,000,000",ARKit,"Computer, Hardware, Information Technology, Virtual Reality",2005,50,50,"Vrvana is the maker of Totem, a unique Mixed Reality headset for Enterprise.",
7,Apple,2017,SensoMotoric Instruments,Eye tracking hardware and software,Germany,N/A,ARKit,"Computer Vision, Image Recognition, Psychology, Software",1991,100,100,SensoMotoric Instruments develops and markets computer vision applications.,
8,Apple,2017,Lattice Data,Artificial intelligence,United States,"$200,000,000",Photos,"Big Data, Information Technology, Machine Learning",2015,50,50,Lattice turns dark data into structured data with human-caliber quality at machine-caliber scale.,
9,Apple,2017,Beddit,Sleep tracking hardware,Finland,N/A,iOS,"Fitness, Health Care, Wellness",2007,50,50,Beddit offers consumer focused sleep tracking.,
10,Apple,2017,Workflow,Automation and scripting app,United States,N/A,iOS,"Mobile, Productivity Tools, Software",2012,10,10,Workflow connects your apps and services together to automate things you do every day.,
11,Apple,2016,Indoor.io,Indoor mapping and navigation,Finland,N/A,Maps,"Mapping Services, Navigation, Service Industry",2007,,25,Indoor.io is an indoor mapping platform consolidating years of investment and experience building indoor maps.,
12,Apple,2016,Tuplejump,Machine learning,India,N/A,"Siri, CoreML","Analytics, Artificial Intelligence, Big Data, Data Visualization, Machine Learning, Software",2013,50,50,tuplejump offers big data solutions that enable businesses to capture and analyze data.,
13,Apple,2016,Gliimpse,Personal health info collection company,United States,N/A,"HealthKit, CareKit, ResearchKit","Health Care, Information Technology",2015,50,50,"Access, manage and share your own health records information",
14,Apple,2016,Turi,Machine learning,United States,"$200,000,000","Xcode, Core ML","Analytics, Artificial Intelligence, Big Data, Machine Learning, Software",2013,50,50,Turi is a machine learning platform that creates big data analytics products for its users.,
15,Apple,2016,LegbaCore,Platform security,United States,N/A,Exposed firmware exploit in Apple computers.[104],not provided,2015,10,10,security consultancy firm,
