Column2,Column1,Id,AcquiredBy,Acquisition date,Company,Business,Country,Value (USD),Derived products,Categories,Founded,Founded(modified),Size,Size(modified),Description,Broad Category
0,0,0,Apple,2018,Texture,Digital magazine subscription service,"United States,  Canada",,News,"Content, Digital Entertainment, Digital Media",2009,2009,250,250,Texture by Next Issue is an online media company that provides digital publishing services.,AI/ML/Analytics
1,1,1,Apple,2018,Buddybuild,Feedback Platform for Development teams,Canada,,"Xcode, TestFlight","Developer Tools, Mobile, Software",2015,2015,50,50,Buddybuild is a Vancouver-based app tools company focused on continuous integration and debugging tools.,AR/VR
2,2,2,Apple,2017,Shazam,Music and Image recognition,United Kingdom,"$400,000,000 ","iTunes, Siri, Apple Music","Android, Ediscovery, iOS, Music",2000,2000,250,250,"Shazam offers a mobile app that connects hundreds of millions of people around the world to the content music, artists and brands they love.",Software
3,3,3,Apple,2018,init.ai,Messaging assistant,United States,,Siri,"Artificial Intelligence, B2B, Developer Platform, Developer Tools, Machine Learning, Messaging, Natural Language Processing, Virtual Assistant",2015,2015,10,10,Init.ai is a developer platform that enables its users to design and develop language conversational mobile applications.,AI/ML/Analytics
4,4,4,Apple,2018,PowerbyProxi,Wireless charging,New Zealand,,"iPhone, AirPower","Consumer Electronics, Industrial, Wireless",2007,2007,50,50,"PowerbyProxi is a leader in advanced, safe, wireless power solutions for consumer electronics and industrial markets.",Hardware
5,5,5,Apple,2017,Regaind,Computer vision,France,,Photos,"Artificial Intelligence, Computer Vision, Photo Sharing, Photography",2015,2015,,25,Regaind gives meaning to photos and help businesses and developers deal with massive flows of images by using AI to analyze and sort them.,AI/ML/Analytics
6,6,6,Apple,2017,Vrvana,Augmented reality head-mounted display,Canada,"$30,000,000 ",ARKit,"Computer, Hardware, Information Technology, Virtual Reality",2005,2005,50,50,"Vrvana is the maker of Totem, a unique Mixed Reality headset for Enterprise.",AR/VR
7,7,7,Apple,2017,SensoMotoric Instruments,Eye tracking hardware and software,Germany,,ARKit,"Computer Vision, Image Recognition, Psychology, Software",1991,1991,100,100,SensoMotoric Instruments develops and markets computer vision applications.,AR/VR
8,8,8,Apple,2017,Lattice Data,Artificial intelligence,United States,"$200,000,000 ",Photos,"Big Data, Information Technology, Machine Learning",2015,2015,50,50,Lattice turns dark data into structured data with human-caliber quality at machine-caliber scale.,AI/ML/Analytics
9,9,9,Apple,2017,Beddit,Sleep tracking hardware,Finland,,iOS,"Fitness, Health Care, Wellness",2007,2007,50,50,Beddit offers consumer focused sleep tracking.,AR/VR
10,10,10,Apple,2017,Workflow,Automation and scripting app,United States,,iOS,"Mobile, Productivity Tools, Software",2012,2012,10,10,Workflow connects your apps and services together to automate things you do every day.,AR/VR
11,11,11,Apple,2016,Indoor.io,Indoor mapping and navigation,Finland,,Maps,"Mapping Services, Navigation, Service Industry, Internet",2007,2007,,25,Indoor.io is an indoor mapping platform consolidating years of investment and experience building indoor maps.,Software
12,12,12,Apple,2016,Tuplejump,Machine learning,India,,"Siri, CoreML","Analytics, Artificial Intelligence, Big Data, Data Visualization, Machine Learning, Software",2013,2013,50,50,tuplejump offers big data solutions that enable businesses to capture and analyze data.,AI/ML/Analytics
13,13,13,Apple,2016,Gliimpse,Personal health info collection company,United States,,"HealthKit, CareKit, ResearchKit","Health Care, Information Technology",2015,2015,50,50,"Access, manage and share your own health records information",AR/VR
14,14,14,Apple,2016,Turi,Machine learning,United States,"$200,000,000 ","Xcode, Core ML","Analytics, Artificial Intelligence, Big Data, Machine Learning, Software",2013,2013,50,50,Turi is a machine learning platform that creates big data analytics products for its users.,AI/ML/Analytics
15,15,15,Apple,2016,LegbaCore,Platform security,United States,,Exposed firmware exploit in Apple computers.[104],not provided,2015,2015,10,10,security consultancy firm,Uncategorised
16,16,16,Apple,2016,Flyby Media,Augmented reality,United States,,ARkit,"Augmented Reality, Computer Vision, Internet, Location Based Services, Mobile, Social Media, Video",2010,2010,50,50,Flyby Media develops next-generation consumer mobile social applications that connect the physical world with digital content.,AR/VR
17,17,17,Apple,2016,LearnSprout,Education technology,United States,,Classroom iPad App,"Analytics, Big Data, EdTech, Education, Predictive Analytics",2012,2012,50,50,LearnSprout is the first and only solution that makes big data analytics possible for non-technical educators.,AI/ML/Analytics
18,18,18,Apple,2016,Emotient,Emotion recognition,United States,,"Face ID, Animoji[100]","Artificial Intelligence, Machine Learning, Software, Video",2012,2012,50,50,Emotient is a San Diego-based startup that uses artificial intelligence to identify how people feel.,AI/ML/Analytics
19,19,19,Apple,2018,Faceshift,Realtime Motion Capture,Switzerland,,Animoji,"Broadcasting, Content Creators, Digital Media, Facial Recognition, Information Technology, Video Conferencing",2012,2012,50,50,Faceshift is a motion capture platform that enables its users to design virtual avatars.,Software
20,20,20,Apple,2018,Mapsense,Mapping visualization and data collection,United States,"$30,000,000 ",Apple Maps,"Geospatial, Location Based Services, Web Hosting",2013,2013,50,50,"Mapsense helps people explore location-based trends faster than ever before, so anyone can tame the growing tidal wave of geospatial data.",Software
21,21,21,Apple,2018,VocalIQ,Speech technology,United Kingdom,,Siri,"Artificial Intelligence, Audio, Automotive, Machine Learning, Mobile, Wearables",2011,2011,10,10,"VocalIQ has built a platform for voice interfaces, to voice enable everyones devices and apps.",AI/ML/Analytics
22,22,22,Apple,2018,Perceptio,"Machine learning, Image recognition",United States,,"Face ID, Animoji, Photos","Artificial Intelligence, Digital Media, Machine Learning",2014,2014,10,10,"Perceptio, a small startup focused on artificial intelligence.",AI/ML/Analytics
23,23,23,Apple,2018,Metaio,Augmented reality,Germany,,ARkit,"Advertising, Augmented Reality, Mobile, Software",2003,2003,100,100,Metaio is technology company that develops augmented reality software technology and solutions.,AR/VR
24,24,24,Apple,2015,LinX,Camera,Israel,"$20,000,000 ",,"Mobile, Social Media",2013,2013,10,10,Linx is social platform that enables users to create and share videos with their friends.,Software
25,25,25,Apple,2018,Coherent Navigation,GPS,United States,,Apple Maps,"Apps, Software",2008,2008,10,10,Coherent Navigation was a small firm that focused on creating commercial navigation services,AR/VR
26,26,26,Apple,2015,FoundationDB,Database,United States,,iMessage Backend,"Analytics, Database, Enterprise Software",2009,2009,50,50,FoundationDB is a scalable NoSQL database with high performance multi-key ACID transactions that support multiple data models.,AI/ML/Analytics
27,27,27,Apple,2015,Semetric,Music analytics,United Kingdom,"$50,000,000 ","Apple Music, iTunes Store","Analytics, Content Discovery, Predictive Analytics",2008,2008,,25,"Semetric powers data-driven business in entertainment by providing insight, analytics, discovery, recommendations, and targetting services.",AI/ML/Analytics
28,28,28,Apple,2018,Camel Audio,Audio plug-ins and sound libraries,United Kingdom,,Logic Pro,"Audio, Music",2000,2000,10,10,U.K. -based music technology company providing tools for music production.,Media/Ad/Content
29,29,29,Apple,2014,Prss,Digital magazine,Netherlands,,Apple News[82],"iOS, Publishing",2013,2013,50,50,Prss is a digital magazine startup that makes it easy to create iPad-compatible magazines using tools that donÃŒ_ÃŒ_Ã¥Ãˆt require any coding.,Software
30,30,30,Apple,2014,Beats Electronics,"Headphones, music streaming (Beats Music)",United States,"$3,000,000,000 ","iPhone, iTunes, Apple Music","Consumer Electronics, Hardware, Manufacturing, Media and Entertainment, Music, Software",2006,2006,1000,1000,"Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.",AI/ML/Analytics
31,31,31,Apple,2014,Swell,Music streaming,United States,"$30,000,000 ",Apple Music,"Content Discovery, Machine Learning, Mobile, Personalization",2012,2012,50,50,"Concept.io develops the application Swell Radio, which provides personalized audio, news and information based on users' interests.",AI/ML/Analytics
32,32,32,Apple,2014,BookLamp,Book analytics,United States,,iBooks,"Content Discovery, Reading Apps, Software",2007,2007,50,50,Booklamp provides users with reading suggestions based on a detailed analysis of the writing styles of their preferred authors.,AR/VR
33,33,33,Apple,2014,Spotsetter,Social search engine,United States,,Apple Maps,"Big Data, Social Media",2011,2011,10,10,Spotsetter is a social search engine that makes personalized recommendations for places to visit and things to try.,Media/Ad/Content
34,34,34,Apple,2014,LuxVue Technology,microLED displays,United States,,ÃŒ_ÃŒ_ÃŒÂ¨,"Consumer Electronics, Hardware, Software",2009,2009,,25,"LuxVue Technology Corporation develops low-power, microLED-based displays for consumer electronics applications.",AR/VR
35,35,35,Apple,2014,Burstly,Software testing,United States,,"TestFlight, App Store","Advertising, Analytics, iOS, Mobile Advertising",2009,2009,50,50,"Burstly develops tools that provide solutions for beta-testing, intuitive analytics and application monetization.",AI/ML/Analytics
36,36,36,Apple,2014,SnappyLabs,Photography software,United States,,Camera,Photography,2011,2011,10,10,Fastest smart-phone camera on earth.,Uncategorised
37,37,37,Apple,2013,BroadMap,Maps,United States,,Apple Maps,"Geospatial, Software",2008,2008,50,50,"BroadMap offers location based services, social intelligence & sentiment solutions, digital mapping solutions & market leading profile data.",AR/VR
38,38,38,Apple,2013,Catch.com,Software,United States,,Siri,"Android, iOS, Mobile",2008,2008,50,50,Catch.com creates note-taking and mobile productivity apps for Android and iOS smartphones and tablets.,Software
39,39,39,Apple,2013,Topsy,Analytics,United States,"$200,000,000 ","App Store, Apple Music, iTunes Store[71]","Analytics, Internet, Real Time, Search Engine, Social Media",2007,2007,100,100,"Topsy, a social analytics company, provides instant answers to critical business questions via real-time analysis of public conversations.",AI/ML/Analytics
40,40,40,Apple,2018,Acunu,Database analytics,United States,,iCloud,"Analytics, Big Data, Software",2009,2009,50,50,Acunu is a low-latency analytics platform for monitoring and controlling high-velocity data used in production environments.,AI/ML/Analytics
41,41,41,Apple,2013,PrimeSense,Structured-light 3D scanners,Israel,"$345,000,000 ","Face ID, TrueDepth[68][69]","3D Technology, Consumer Electronics, Hardware",2005,2005,100,100,"PrimeSense offers an interactive device that can see, track and react to user movements outside the computer.",AR/VR
42,42,42,Apple,2013,Cue,Personal assistant,United States,"$50,000,000 ",Siri,"Internet, Mobile Apps",2010,2010,50,50,Cue is a web and mobile app that pulls information from the usersÃŒ_ÃŒ_Ã¥Ãˆ online accounts to present an overview of their day.,Software
43,43,43,Apple,2013,AlgoTrim,Mobile data compression[64],Sweden,,iOS,Mobile,2005,2005,50,50,"AlgoTrimÃŒ_Ã¥ÃœÃ¥Â¢ develops advanced solutions for mobile devices within the fields of data compression, mobile imaging and video, and computer",Software
44,44,44,Apple,2013,Embark,Maps,United States,,Apple Maps,"Mobile, Mobile Apps, Public Transportation",2011,2011,10,10,Embark creates mobile apps for mass-transit riders worldwide that gives users information about routes and stops in different cities.,Software
45,45,45,Apple,2013,Matcha,Media discovery app,United States,,TV App for Apple TV and iOS,"Content, Online Portals, Video",2011,2011,10,10,"Matcha is a second-screen video search and recommendation service for movies, TV shows and other video content.",Media/Ad/Content
46,46,46,Apple,2013,Passif Semiconductor,Semiconductors,United States,,Apple SOC,"Manufacturing, Semiconductor, Wireless",2007,2007,,25,Passif Semiconductor Corp manufactures semiconductors. The company manufactures switch-based wireless transceivers with low power,Hardware
47,47,47,Apple,2013,Locationary,Maps,Canada,,Apple Maps,"Analytics, Crowdsourcing, Location Based Services",2009,2009,50,50,"Locationary offers Saturn, a management and exchange platform for local business data.",AI/ML/Analytics
48,48,48,Apple,2013,HopStop.com,Maps,United States,,Apple Maps,"Android, iOS, Navigation",2005,2005,50,50,HopStop.com is a web platform offering door-to-door online transit-navigation services.,Software
49,49,49,Apple,2013,WiFiSlam,Indoor location,United States,"$20,000,000 ",Apple Maps,"Location Based Services, Mobile, Wireless",2011,2011,50,50,WiFiSlam develops indoor location-based technologies that use Wi-Fi signals to detect a mobile phone user's location via a smartphone app.,Software
50,50,50,Apple,2012,Particle,HTML5 Web app firm,United States,,"iCloud, iAd","Developer Platform, Mobile, Web Development",2008,2008,50,50,Particle develops innovative products for web and mobile in order to enhance new media technologies.,Software
51,51,51,Apple,2012,AuthenTec,PC and mobile security products,United States,"$356,000,000 ",Touch ID,"Biometrics, Cyber Security, Identity Management, NFC, Security, Semiconductor, Sensor",1998,1998,250,250,"AuthenTec is a tech security company providing computer and mobile safety, identity management, biometrics, and touch control solutions.",Security
52,52,52,Apple,2012,Redmatica,Audio,Italy,,"Logic Pro, GarageBand",not provided,2003,2003,,25,A small startup that specializes in digital music-editing apps.,Uncategorised
53,53,53,Apple,2012,Chomp,App search engine,United States,"$50,000,000 ",App Store,Mobile,2009,2009,50,50,Chomp is an application search platform providing information on the functionalities of various applications.,Software
54,54,54,Apple,2011,Anobit,Flash memory,Israel,"$390,000,000 ","iPod, iPhone, iPad","Electronics, Flash Storage, Semiconductor",2006,2006,100,100,Anobit Technologies develops semiconductors for storage solutions used in Flash memory devices.,Hardware
